category_no,category_name,parent_category_no
0,,0
100005,花・ガーデン・DIY,0
0,,100005
100026,パソコン・周辺機器,0
0,,100026
100227,食品,0
0,,100227
100316,水・ソフトドリンク,0
0,,100316
100371,レディースファッション,0
100433,インナー・下着・ナイトウエア,0
100533,キッズ・ベビー・マタニティ,0
0,,100533
100804,インテリア・寝具・収納,0
0,,100804
100938,ダイエット・健康,0
0,,100938
0,医薬品・コンタクト・介護 医薬品・医薬部外品,100938
100939,美容・コスメ・香水,0
0,,100939
100984,ダイエット,0
0,,100984
101058,福祉・介護,0
101070,スポーツ・アウトドア,0
0,,101070
101114,車・バイク,0
101164,おもちゃ・ホビー・ゲーム,0
0,,101164
101165,趣味・コレクション,0
0,,101165
101189,,0
101213,ペット・ペットグッズ,0
0,,101213
0,,101240
101240,CD・DVD・楽器,0
101381,旅行・出張・チケット,0
101438,学び・サービス・保険,0
111102,ベビー,0
112132,占い・開運・風水・パワーストーン,0
112197,カード・トレーディングカード,0
100005,花・ガーデン・DIY,100005
100012,ガーデニング,100005
100017,鉢,100012
100057,パソコン周辺機器,100026
100087,パソコンパーツ,100026
100066,ディスプレイ・モニター,100057
100103,パソコンソフト,100026
100130,オフィス用品,100026
200166,収納家具,0
200167,デスク,0
100081,グラフィックボード,100087
100089,メモリー,100087
100122,アニメ,100103
100125,アクセサリー,100123
100127,アンテナ,100125
100133,記録用メディア,100130
100134,フロッピーディスクメディア,100133
100149,BS・CS・地デジ,100141
100151,スカイパーフェクTV,100149
100228,肉・肉加工品,100227
100232,その他肉類,100228
100236,魚介類・シーフード,100227
100246,フルーツ・果物,100227
100250,キムチ・漬け物・梅干し,100227
100256,麺類,100227
100262,チーズ・乳製品,100227
100268,惣菜・食材,100227
100269,和風惣菜,100227
100275,洋風惣菜,100227
100253,ピクルス,100250
100278,中華惣菜・点心,100227
100293,パン・ジャム,100227
100300,調味料,100227
100265,牛乳,100262
100269,和風惣菜,100268
100275,洋風惣菜,100268
100278,中華惣菜・点心,100268
100276,スープ,100275
100280,シュウマイ,100278
100344,ソフトドリンク,100227
100262,チーズ・乳製品,100316
100296,デニッシュ,100293
100297,食パン,100293
100307,マヨネーズ,100300
100308,ケチャップ,100300
100330,ウイスキー,100329
100344,ソフトドリンク,100316
100336,カクテル,100329
100351,紅茶,100316
100356,コーヒー・ココア,100316
100361,日本茶,100316
100362,ほうじ茶,100361
100365,番茶,100361
100366,玄米茶,100361
100428,女性和服,100371
200827,授乳・お食事,0
100804,インテリア・寝具・収納,100026
100434,メンズインナー,100433
100863,インテリア小物・置物,100005
100442,レディースインナー,100433
100880,エクステリア,100005
100880,エクステリア,100005
100444,その他,100442
100448,ベビードール,100442
100890,DIY・工具,100005
100893,住宅建材,100005
100020,ガーデンボックス・コンテナ,100880
100130,オフィス用品,100804
100487,指輪・リング,100486
100500,ネックレス,100486
100645,洗濯用品,100554
100656,掃除用具,100554
100660,洗面用具,100554
100668,ティッシュ,100554
100188,暖房器具,101036
100672,袋,100554
100675,ショッピングバッグ,100554
100677,マット類,100554
100679,収納,100554
100625,ボディ用石けん,100624
100626,ボディソープ,100624
100316,水・ソフトドリンク,100938
100632,キッチンペーパー,100629
100632,キッチンペーパー,100629
100633,ラップ,100629
100633,ラップ,100629
100635,ホイル,100629
100635,ホイル,100629
100636,キッチンマット,100629
100636,キッチンマット,100629
100637,鍋布き,100629
100637,鍋布き,100629
100624,石けん,100660
100646,洗濯バサミ,100645
100648,洗濯台,100645
100987,健康食品,100316
100636,キッチンマット,100677
100658,バケツ,100656
100663,ブラシ・クシ,100660
100664,タオル,100660
100650,バスマット,100677
100698,食器,100629
100651,トイレマット,100677
100687,ハンガー,100645
100708,茶托,100629
100708,茶托,100629
100804,インテリア・寝具・収納,100533
100670,ティッシュペーパー,100668
100673,紙袋,100672
100674,手提げ袋,100672
100676,風呂敷,100672
100678,玄関マット,100677
100554,日用品・生活雑貨,100804
100680,レターフォルダー,100679
100681,マガジンボックス,100679
100682,衣料収納具,100679
100442,レディースインナー,100939
100762,容器,100629
100454,ファッション雑貨・小物,100939
100714,浅鉢,100698
100714,浅鉢,100698
100715,そばちょこ,100698
100715,そばちょこ,100698
100720,煮物碗,100698
100720,煮物碗,100698
100486,レディースジュエリー・アクセサリー,100939
100733,ぐい呑み・おちょこ,100698
100733,ぐい呑み・おちょこ,100698
100644,キッチン家電,100788
100629,キッチン用品・雑貨・エプロン,100804
100668,ティッシュ,100804
101451,ネットワーク機器,100026
100679,収納,100804
100434,メンズインナー,101070
100061,モデム,101451
100442,レディースインナー,101070
100725,メッシュボウル,100788
100062,TA,101451
100064,その他ネットワーク関連ハード,101451
100065,その他ネットワーク関連サプライ,101451
100763,プラスチック保存容器,100762
100763,プラスチック保存容器,100762
100764,ガラス保存容器,100762
100764,ガラス保存容器,100762
100765,ステンレス保存容器,100762
100765,ステンレス保存容器,100762
100766,パスタボトル,100762
100766,パスタボトル,100762
100767,茶筒,100762
100767,茶筒,100762
100768,保存ビン,100762
100768,保存ビン,100762
100769,水差し,100762
100769,水差し,100762
201541,"医薬品・医薬部外品(医薬品, 虫除け・虫さされ)",0
201541,"医薬品・医薬部外品(医薬品, 目薬)",0
201541,"医薬品・医薬部外品(医薬品, 妊娠検査薬)",0
201541,"医薬品・医薬部外品(医薬品, キズ・消毒)",0
100140,通信・サービス,101438
100794,泡だて器,100788
100795,栓抜き・コルクスクリュー,100788
100796,スライサー,100788
100797,缶切り,100788
100797,缶切り,100788
100798,にんにくつぶし,100788
100660,洗面用具,100938
100804,インテリア・寝具・収納,100804
100805,ライト・照明,100804
100805,ライト・照明,100804
100554,日用品・生活雑貨,101070
100823,ベッド,100804
100558,テニス,101070
100847,ラック,100804
100857,時計,100804
100863,インテリア小物・置物,100804
100880,エクステリア,100804
100851,ワインラック,100847
100852,タオルラック,100847
100861,砂時計,100857
101189,おもちゃ,100533
100933,オフィス家具,100804
100933,オフィス家具,100804
100804,インテリア・寝具・収納,100938
101738,その他,100012
100881,石材関連,100880
100881,石材関連,100880
100885,テラス,100880
100885,テラス,100880
101535,セット,100236
100894,壁材,100893
100898,作業着,100890
100895,床材,100893
100896,木材・工房,100893
101746,その他,100057
100912,事務用品,100901
100912,事務用品,100901
101747,その他,100066
100926,筆記具,100901
100915,定規,100912
100926,筆記具,100901
100916,メジャー,100912
101750,その他,100083
100933,オフィス家具,100901
100901,文具,100933
101751,その他,100087
101753,その他,100103
101058,福祉・介護,100804
101754,その他,100123
100938,ダイエット・健康,100939
100940,ヘアケア,100939
100940,ヘアケア,100939
101755,その他,100125
100944,スキンケア,100939
101756,その他,100130
101757,その他,100133
100960,ボディケア,100939
100968,男性用化粧品,100939
101762,その他,100155
100984,ダイエット,100938
100938,ダイエット・健康,100984
100962,石けん・ボディソープ,100960
100963,トリートメント,100960
100984,ダイエット,100939
101242,ガイドブック,100683
100987,健康食品,100938
100988,美容サプリ,100938
100988,美容サプリ,100938
100987,健康食品,100939
100971,ボディケア,100968
101765,その他,100191
101168,喫煙具,100804
101035,リラックス・マッサージ用品,100938
101035,リラックス・マッサージ用品,100938
101036,安眠グッズ,100938
101036,安眠グッズ,100938
101767,その他,100212
101041,計測器・健康管理,100938
101048,治療機器・用品,100938
101189,おもちゃ,100804
100938,ダイエット・健康,101058
101770,その他,100228
101771,その他,100236
101070,スポーツ・アウトドア,100938
101035,リラックス・マッサージ用品,100984
101034,薬用酒,100987
101773,その他,100250
101041,計測器・健康管理,100984
101222,アート・美術品・骨董品・民芸品,100804
101774,その他,100256
101775,その他,100262
101776,その他,100268
101777,その他,100269
101778,その他,100275
100984,ダイエット,101070
101070,スポーツ・アウトドア,100984
101779,中華料理・惣菜その他,100278
101038,掛けふとん,101036
101038,掛けふとん,101036
101039,敷ふとん,101036
101039,敷ふとん,101036
101783,その他,100293
101040,ベッド,101036
101040,ベッド,101036
101048,治療機器・用品,101035
101784,その他,100300
101050,低周波治療器,101035
101047,歩数計,101041
101036,安眠グッズ,101058
101050,低周波治療器,101048
101050,低周波治療器,101048
101051,赤外線治療器,101048
101051,赤外線治療器,101048
101052,吸入器,101048
101052,吸入器,101048
101786,その他,100317
101795,その他,100330
101447,旅行用かばん,100683
101447,旅行用かばん,100683
101070,スポーツ・アウトドア,101070
101797,その他,100344
101071,用具・小物,101070
101074,用具,101071
101075,小物,101071
101798,その他,100351
101799,その他,100356
101800,その他,100361
101100,マリンスポーツ,101070
101802,その他,100372
101093,小物,101086
101157,自転車,101070
101115,自動車車体,101114
101165,趣味・コレクション,101070
101818,その他,100434
101131,排気系パーツ,101126
101820,その他,100454
101821,その他,100467
101824,その他,100486
101825,その他,100487
101618,お箸セット,100698
101618,お箸セット,100698
101826,その他,100500
101165,趣味・コレクション,101164
101168,喫煙具,101165
101171,灰皿,101168
101171,灰皿,101168
101172,シガレットケース,101168
101173,パイプ・煙管,101168
101182,格闘技グッズ,101165
101222,アート・美術品・骨董品・民芸品,101164
101833,その他,100554
101834,その他,100558
101766,その他,100644
101766,その他,100644
101223,絵画,101222
101225,洋画,101223
101229,工芸品・民芸品,101222
101234,骨董品・アンティーク,101222
101230,陶器・磁器,101229
101835,その他,100624
101237,ステンドグラス,101222
101231,漆器,101229
101232,木工細工,101229
101233,金属細工,101229
101836,その他,100629
101836,その他,100629
101837,その他,100645
101327,ビデオ,101165
101839,その他,100656
101840,その他,100660
101841,その他,100664
101842,その他,100668
101843,その他,100672
101844,その他,100677
101845,その他,100679
101846,その他,100683
101846,その他,100683
101849,その他皿,100698
101849,その他皿,100698
101850,その他鉢,100698
101850,その他鉢,100698
101851,その他椀物,100698
101851,その他椀物,100698
101311,CD,101240
101854,その他カトラリー,100698
101854,その他カトラリー,100698
101327,ビデオ,101240
101855,その他,100762
101855,その他,100762
101325,レゲエ,101311
101858,その他,100788
101328,洋画,101327
101330,ヨーロッパ,101328
101331,名画・クラシック,101328
101860,その他,100805
101861,その他,100804
101860,その他,100805
101337,コメディー,101328
101341,アジア,101328
101343,邦画,101327
101347,アニメ,101327
100815,掛軸,101861
100816,屏風,101861
100817,のれん,101861
100818,畳,101861
101352,教養,101327
101345,邦映画,101343
101864,その他,100847
101865,その他,100857
101867,その他,100872
101868,その他,100878
101869,その他,100880
101869,その他,100880
101870,その他,100890
101382,トラベル,101381
101871,その他,100893
101383,ホテル・旅館,101382
101384,国内パックツアー,101382
101385,北海道,101384
101386,東北,101384
101387,関東,101384
101388,中部,101384
101872,その他,100901
101872,その他,100901
101389,北陸,101384
101390,近畿,101384
101391,中国,101384
101392,四国,101384
101394,海外パックツアー,101382
101393,九州・沖縄,101384
101398,船,101382
101399,バス,101382
101400,鉄道,101382
101401,航空券,101382
101874,その他,100912
101395,ヨーロッパ,101394
101396,北米,101394
101397,アジア,101394
101411,航空券,101382
101415,高速券,101382
101416,興行チケット,101381
101875,その他,100926
101404,関東,101401
101405,中部,101401
101878,その他,100940
101878,その他,100940
101414,アジア,101411
101418,映画,101416
101419,スポーツ,101416
101882,その他,100960
101423,バスケット,101419
101424,その他球技,101419
101425,プロレス,101419
101426,格闘技,101419
101428,大相撲,101419
101429,モータースポーツ,101419
101432,演劇,101416
101883,その他,100968
101433,演劇,101432
101434,ダンス・バレエ,101432
101435,ミュージカル,101432
101885,その他,100984
101886,その他,100987
101887,その他,100988
101887,その他,100988
101439,金融・保険,101438
101440,生命保険,101439
101441,損害保険,101439
101443,証券,101439
101445,通信講座・通学講座・教材,101438
101889,その他,101036
101889,その他,101036
101890,その他,101041
101891,その他,101048
101891,その他,101048
101892,その他,101058
101894,その他,101071
101897,その他,101086
101898,その他,101094
101899,その他,101100
101903,その他,101115
101861,その他,101164
101904,その他,101126
101905,その他,101131
101975,アウトドア,101070
101906,その他,101157
101909,その他,101168
101917,その他,101222
101918,その他,101223
101919,その他,101229
101946,その他,101327
101947,その他,101328
101948,その他,101343
101949,その他,101347
101955,その他,101382
101979,北海道,101383
101980,東北,101383
101981,関東,101383
101982,中部,101383
101983,北陸,101383
101984,近畿,101383
101985,中国,101383
101986,四国,101383
101987,九州・沖縄,101383
101960,その他,101416
101961,その他,101419
101962,その他,101432
101964,その他,101439
101965,その他,101451
101991,その他,101975
205789,コンタクトレンズ・ケア用品,0
208076,精密機器類,0
110013,用具・工具,100005
110013,用具・工具,100012
100020,ガーデンボックス・コンテナ,110013
100020,ガーデンボックス・コンテナ,110013
100022,その他用具,110013
110042,造花,100005
110080,プリンタ・インク,100026
110105,ディスプレイ・モニター,100026
210152,仏具,0
110101,CRT,100066
110353,PDA,100026
100133,記録用メディア,110247
110247,映像メディア,100141
110365,ストラップ,100125
110365,ストラップ,100125
110372,携帯電話ケース,100125
110372,携帯電話ケース,100125
110305,APSカメラ,100212
110344,フイルム,100212
110395,その他水産物,100236
110404,サンマ,100236
110406,貝,100236
110411,カニ,100236
110420,海藻類,100236
110428,牛肉,100228
110472,米・雑穀・シリアル,100227
110457,セット・詰め合わせ,100246
110463,漬け物,100250
110487,ラーメン,100256
110494,パスタ,100256
110502,チーズ,100262
110494,パスタ,100275
110477,ジャム,100293
110518,和風肉料理,100269
110518,和風肉料理,100269
110519,和風魚料理,100269
110519,和風魚料理,100269
110526,ピザ,100275
110527,洋風肉料理,100275
110527,洋風肉料理,100275
110528,洋風魚料理,100275
110528,洋風魚料理,100275
110534,スープ,100278
110537,中華風肉料理,100278
110537,中華風肉料理,100278
110538,中華風魚料理,100278
110538,中華風魚料理,100278
100890,DIY・工具,110013
110619,スコッチ・ウイスキー,100330
110626,国産ビール,100324
110624,カナディアン・ウイスキー,100330
110632,発泡酒,100324
110636,輸入ビール,100324
110642,地ビール,100324
100557,その他,110477
110692,果実ジュース,100344
110729,ワンピース,100371
110824,和服セット,100428
110831,和装小物,100428
110845,ショーツ,100442
100443,その他,110845
110854,ブラジャー単品,100442
100445,その他,110854
110894,サングラス,100467
111029,ネックレス・ペンダント,100486
111037,シルバー,100487
110365,ストラップ,101165
111048,イヤリング,100486
111061,ピアス,100486
111116,マタニティ・ママ,100433
110368,携帯ストラップ,101182
111078,キッズ,100533
100542,子供服・洋品,111078
111102,ベビー,100533
111116,マタニティ・ママ,100533
211742,TV・オーディオ・カメラ,0
0,,211742
111519,防災関連グッズ,100316
110933,レディースバッグ,100939
110804,コレクターグッズ系ウエア,101165
110806,ウエア,101182
111469,トイレ用品,100554
111142,ノート・紙製品,100901
111142,ノート・紙製品,100901
100907,ラベル,111142
111150,ファイル・バインダー,100901
111150,ファイル・バインダー,100901
100905,ホルダー・ボックス,111150
111120,香水・フレグランス,100939
111150,ファイル・バインダー,100912
111163,シール,100912
111210,アロマポット,100878
111213,アロマテラピーセット,100878
111197,コレクターグッズ系文房具,100901
111197,コレクターグッズ系文房具,100901
100624,石けん・ボディソープ,111475
100624,石けん・ボディソープ,111475
111215,工具,100890
111173,印鑑・ハンコ,100933
111225,金物,100890
100651,トイレマット,111469
100650,バスマット,111475
100650,バスマット,111475
111346,テーブル,100804
111355,カーペット・ラグ・マット,100804
111363,イス・チェア,100804
111336,マガジンラック,100847
111336,マガジンラック,100847
100664,タオル,111519
111377,フォトフレーム,100863
111384,置物,100863
111388,花瓶,100863
111102,ベビー,101164
100797,缶切り,111519
111197,コレクターグッズ系文房具,101165
111200,文具,101182
111541,スタイリング剤,100940
111541,スタイリング剤,100940
112493,楽器,100026
101807,カーディガン,110765
111772,男性用,100940
112624,その他,100089
