name,value,mySubCategoryFlg
女装/女士精品,16,1
针织衫,50000697,0
毛呢外套,50102538,0
T恤,50000671,0
羽绒服,50099260,0
棉衣,50016772,0
卫衣,50008898,0
风衣,50031724,0
短外套,50016768,0
衬衫,162104,0
羊绒衫,50098749,0
针织开衫,50906001,0
小西装,50016771,0
真皮皮衣,50095934,0
皮草,50096877,0
雪纺衫/蕾丝衫,50066686,0
长袖T恤,50044611,0
长袖衬衫,50095933,0
小背心/吊带,50067404,0
牛仔裤,50015514,0
小脚/铅笔裤,50095942,0
休闲裤,50106139,0
打底裤,50007068,0
哈伦裤,50101586,0
短裤/热裤,50044671,0
棉麻裤,51106004,0
西装/正装裤,50067560,0
七/九分裤,50044672,0
阔腿裤,50101674,0
高腰裤,51100006,0
连体裤,50010850,0
破洞牛仔裤,51088009,0
微喇牛仔裤,51110002,0
安全裤,51106006,0
连衣裙,51108009,0
半身裙,1623,0
长袖连衣裙,51106012,0
中长款连衣裙,51712001,0
短袖连衣裙,51104005,0
雪纺裙,50095417,0
中长款半身裙,51714001,0
牛仔连衣裙,51708001,0
牛仔半身裙,51710001,0
马夹,50029581,0
大码女装,50099705,0
职业装/工作服/校服,1624,0
中老年女装,50000852,0
唐装/民族/舞台服装,50008906,0
婚纱/礼服/旗袍,50099718,0
仿皮皮衣,50095935,0
男装,30,1
长袖T恤,50000436,0
长袖衬衫,50011131,0
卫衣,50099315,0
薄夹克,51624005,0
风衣,50099274,0
薄毛衣,50302021,0
针织开衫,50304017,0
牛仔长裤,50010167,0
休闲长裤,50011179,0
长袖POLO衫,50026901,0
夹克,50010158,0
羽绒服,50029375,0
T恤,50040965,0
衬衫,50045018,0
棉衣,50029373,0
西服,50095646,0
呢大衣,50101584,0
毛衣/针织衫,50000557,0
马甲,50018529,0
皮夹克,50099270,0
西服套装,50019371,0
羽绒马甲,51638004,0
皮衣,50099312,0
皮草,50101579,0
POLO衫,50102173,0
毛背心,50032081,0
背心,50041594,0
牛仔裤,50106127,0
休闲裤,50106128,0
西裤,50011129,0
工装裤,50099276,0
哈伦裤,51650002,0
棉裤,50101580,0
羽绒裤,50101581,0
皮裤,50019397,0
